Lookups: regexp; Text: regexp; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: reserved; Text: reserved; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: semicolon; Text: semicolon; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: severe; Text: severe; Tail: null; Type: v5.8, inplace(v5.8) internal(v5.8) debugging(v5.8) malloc(v5.8); Icon: /options.png; Type Icon: null
Lookups: signal; Text: signal; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: substr; Text: substr; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: surrogate; Text: surrogate; Tail: null; Type: v5.13; Icon: /option.png; Type Icon: null
Lookups: syntax; Text: syntax; Tail: null; Type: v5.8, ambiguous(v5.8) semicolon(v5.8) precedence(v5.8) bareword(v5.8) reserved(v5.8) digit(v5.8) parenthesis(v5.8) printf(v5.8) prototype(v5.8) qw(v5.8) illegalproto(v5.11); Icon: /options.png; Type Icon: null
Lookups: syscalls; Text: syscalls; Tail: null; Type: v5.19; Icon: /option.png; Type Icon: null
Lookups: taint; Text: taint; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: threads; Text: threads; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: uninitialized; Text: uninitialized; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: unopened; Text: unopened; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: unpack; Text: unpack; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: untie; Text: untie; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: utf8; Text: utf8; Tail: null; Type: v5.8, surrogate(v5.13) nonchar(v5.13) non_unicode(v5.13); Icon: /options.png; Type Icon: null
Lookups: void; Text: void; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
